,Unnamed: 0,geoid,Population Density (Per Sq. Mile),Total Population: Less than 25 Years,Total Population: White Alone,Population 25 Years and Over: Bachelor's Degree or More,Population 16 Years and Over: in Labor Force: Civilian: Employed,Population 16 Years and Over: in Labor Force: Civilian: Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units: No Vehicle Available,Renter-Occupied Housing Units: 1 Vehicle Available,Renter-Occupied Housing Units: 2 Vehicles Available,Renter-Occupied Housing Units: 3 Vehicles Available,pct_disability
18,18,6097150701,3774.007,0.21947762705001012,0.7712087467098603,0.4754863813229572,0.9689418562657999,0.031058143734200072,87025.0,0.10610328638497653,0.336150234741784,0.48169014084507045,0.044131455399061034,0.128712871
19,19,6097150702,623.8458,0.2600203458799593,0.8622583926754832,0.5378058839703052,0.9536693847294292,0.046330615270570794,108281.0,0.06575963718820861,0.48299319727891155,0.2199546485260771,0.19047619047619047,0.060240964
20,20,6097150800,1012.455,0.25532308831697836,0.7905943343825218,0.44530084535057185,0.9493006993006993,0.050699300699300696,84744.0,0.019230769230769232,0.48868778280542985,0.3585972850678733,0.0418552036199095,0.073213761
21,21,6097150901,4399.485,0.3271323965960815,0.6509004551751435,0.38088235294117645,0.9312370421561852,0.0687629578438148,64772.0,0.13096446700507614,0.3949238578680203,0.2984771573604061,0.12690355329949238,0.093399751
22,22,6097151000,655.903,0.25201612903225806,0.8936491935483871,0.3258086253369272,0.9628469113697403,0.03715308863025962,89792.0,0.042735042735042736,0.3623931623931624,0.3401709401709402,0.18632478632478633,0.102263541
23,23,6097151100,120.7458,0.28812956042000354,0.8631429079907457,0.345,0.9666913397483345,0.033308660251665435,89708.0,0.01675977653631285,0.2835195530726257,0.5586592178770949,0.09217877094972067,0.067558528
24,24,6097151201,644.3365,0.2724572075258169,0.813976517187721,0.3202411044137663,0.9644832605531295,0.03551673944687045,72985.0,0.054922279792746116,0.3699481865284974,0.45181347150259066,0.11295336787564766,0.102180838
25,25,6097151203,4733.183,0.3271300448430493,0.909865470852018,0.35654781739420194,0.966988727858293,0.033011272141706925,82931.0,0.03951367781155015,0.4787234042553192,0.2750759878419453,0.1474164133738602,0.101021152
26,26,6097151204,2327.16,0.2644794107800469,0.7833947104117844,0.26354119253527536,0.9646990740740741,0.03530092592592592,70438.0,0.037037037037037035,0.3771043771043771,0.45791245791245794,0.1127946127946128,0.096988259
27,27,6097151301,10961.87,0.39517102615694166,0.6052313883299799,0.2055888223552894,0.9730561970746728,0.026943802925327175,62809.0,0.04884004884004884,0.3907203907203907,0.34676434676434675,0.16605616605616605,0.082647245
28,28,6097151305,8869.561,0.35226896323285856,0.6545213646902948,0.25722321656865255,0.9655485040797824,0.03445149592021759,52375.0,0.12304371289800324,0.4910955207771182,0.310307609282245,0.05666486778197517,0.133150821
29,29,6097151306,8920.486,0.30382712835199166,0.7250715959385576,0.2655198204936425,0.9663865546218487,0.03361344537815126,63125.0,0.09313725490196079,0.3954248366013072,0.4738562091503268,0.021241830065359478,0.092609083
30,30,6097151307,3336.765,0.27165830883624414,0.7918035621649663,0.345679012345679,0.9836759371221282,0.016324062877871828,95161.0,0.0210727969348659,0.23563218390804597,0.4099616858237548,0.289272030651341,0.068726692
31,31,6097151308,4454.334,0.27798398124633716,0.777104903301426,0.2683982683982684,0.9944657300979141,0.005534269902085994,65119.0,0.08589607635206786,0.3637327677624602,0.344644750795334,0.1728525980911983,0.107617504
32,32,6097151309,411.8363,0.2935332055081053,0.8389402126546975,0.3888477670861091,0.9509681449094316,0.04903185509056839,108370.0,0.08520900321543408,0.34565916398713825,0.2829581993569132,0.20739549839228297,0.055256065
33,33,6097151310,6737.161,0.5496850944716585,0.7060881735479356,0.26107226107226106,0.942589338019918,0.05741066198008202,75025.0,0.11347517730496454,0.44680851063829785,0.21134751773049645,0.12907801418439716,0.115665854
34,34,6097151311,4065.904,0.35954372623574143,0.8124714828897338,0.38589408691522203,0.9863381312515248,0.013661868748475237,89038.0,0.05508474576271186,0.3040254237288136,0.3633474576271186,0.07944915254237288,0.112998976
35,35,6097151401,1690.439,0.34608695652173915,0.5055900621118012,0.23499240121580547,0.9244172889794071,0.0755827110205929,71539.0,0.07413127413127413,0.3583011583011583,0.3274131274131274,0.18687258687258687,0.145092196
36,36,6097151402,2893.374,0.38506038769917794,0.5570892114076931,0.15860703086317873,0.9424530129819803,0.05754698701801977,50059.0,0.12302371541501976,0.40019762845849804,0.341403162055336,0.10523715415019763,0.121276946
37,37,6097151502,677.8976,0.24600367803083886,0.840288583958127,0.4981238273921201,0.925638179800222,0.07436182019977802,82026.0,0.04230488694383661,0.4675419401896426,0.3486506199854121,0.11451495258935084,0.083118103
38,38,6097151800,4977.467,0.2079207920792079,0.8516914191419142,0.46875,0.9547610361182051,0.045238963881794964,81948.0,0.04353562005277045,0.29815303430079154,0.4577836411609499,0.20052770448548812,0.029813665
39,39,6097151900,8676.694,0.2358490566037736,0.8268411442483262,0.3643966547192354,0.9230769230769231,0.07692307692307693,50282.0,0.20833333333333334,0.439484126984127,0.2728174603174603,0.07936507936507936,0.117647059
40,40,6097151503,608.7324,0.2021461716937355,0.9060324825986079,0.6259541984732825,0.9720956719817767,0.027904328018223234,145147.0,0.0,0.34,0.43,0.09,0.061659193
